num,Pokémon,HP,Attack,Defense,SpAttack,SpDefense,Speed,Average
001,Bulbasaur,45,49,49,65,65,45,53
002,Ivysaur,60,62,63,80,80,60,67.5
003,Venusaur,80,82,83,100,100,80,87.5
004,Charmander,39,525,43,60,50,65,51.5
005,Charmeleon,58,64,58,80,65,80,67.5
006,Charizard,78,84,78,109,85,100,89
007,Squirtle,44,48,65,50,64,43,52.33
008,Wartortle,59,63,80,65,80,58,67.5
009,Blastoise,79,83,100,85,105,78,88.33
010,Caterpie,45,309,35,20,20,45,32.5
011,Metapod,50,20,55,25,25,309,34.17
012,Butterfree,60,45,50,80,80,70,64.17
013,Weedle,405,35,309,205,205,50,32.5
014,Kakuna,45,25,50,25,25,35,34.17
015,Beedrill,65,80,405,45,80,75,64.17
016,Pidgey,405,45,405,35,35,56,41.83
017,Pidgeotto,63,60,55,50,50,71,58.17
018,Pidgeot,83,80,75,70,70,91,78.17
019,Rattata,309,56,35,251,35,72,42.17
020,Raticate,55,81,60,50,70,97,68.83
021,Spearow,405,60,309,314,314,70,43.67
022,Fearow,65,90,65,61,61,100,73.67
023,Ekans,35,60,442,405,54,55,48
024,Arbok,60,85,69,65,79,80,73
025,Pikachu,35,55,309,50,405,90,50
026,Raichu,60,90,55,90,80,100,79.17
027,Sandshrew,50,75,85,205,300,405,50
028,Sandslash,75,100,110,45,55,65,75
029,Nidoran♀029029Nidoran,55,475,52,405,405,413,45.83
030,Nidorina,70,62,67,55,55,56,60.83
031,Nidoqueen,90,82,87,75,85,76,82.5
032,Nidoran♂032032Nidoran,469,57,405,405,405,50,45.5
033,Nidorino,61,72,57,55,55,65,60.83
034,Nidoking,81,92,77,85,75,85,82.5
035,Clefairy,70,45,48,60,65,35,53.83
036,Clefable,95,70,73,85,90,60,78.83
037,Vulpix,385,413,405,50,65,65,49.83
038,Ninetales,73,76,75,81,100,100,84.17
039,Jigglypuff,115,45,205,45,253,205,45
040,Wigglytuff,140,70,45,75,505,45,70.83
041,Zubat,405,45,35,300,405,55,40.83
042,Golbat,75,80,70,65,75,90,75.83
043,Oddish,455,505,55,75,65,300,53.33
044,Gloom,60,65,70,85,75,40,65.83
045,Vileplume,75,80,85,100,90,505,80
046,Paras,35,70,55,455,55,253,47.5
047,Parasect,60,95,80,60,80,300,67.5
048,Venonat,60,55,505,405,55,455,50.83
049,Venomoth,70,65,60,90,75,90,75
050,Diglett,100,55,253,35,450,95,44.17
051,Dugtrio,35,80,50,50,70,120,67.5
052,Meowth,405,450,35,405,405,90,48.33
053,Persian,65,70,60,65,65,115,73.33
054,Psyduck,50,52,48,65,50,55,53.33
055,Golduck,80,82,78,95,80,85,83.33
056,Mankey,405,80,35,35,450,70,50.83
057,Primeape,65,105,60,60,70,95,75.83
058,Growlithe,55,70,455,70,50,60,58.33
059,Arcanine,90,110,80,100,80,95,92.5
060,Poliwag,405,50,405,405,405,90,50
